no_mec,IDCARD_intersection,IDCARD_all,IDCARD_pct
10017717161,3,3,1.0
10017737464,5514,5780,0.9539792387543252
10017740966,20000,24542,0.8149295085975063
10017865891,2,3,0.6666666666666666
10017888841,1,14,0.07142857142857142
10017908304,21132,21861,0.9666529435981885
10017914139,22447,31050,0.7229307568438004
10017945618,85,867,0.09803921568627451
10018148316,25788,27647,0.9327594314030455
10018174644,11,32,0.34375
10018202806,412644,498072,0.8284826290174915
10018258481,198,209,0.9473684210526315
10018270597,28623,32588,0.8783294464219958
10018306279,3,104,0.028846153846153848
10018312019,4347,4475,0.9713966480446927
10018314871,103306,140493,0.7353106560469205
10018340553,5853,5944,0.9846904441453567
10018343182,20100,22193,0.9056909836434912
10018357798,198,964,0.2053941908713693
10018404513,77,559,0.13774597495527727
10018412874,22,112,0.19642857142857142
10018415763,3,27,0.1111111111111111
10018464037,108,776,0.13917525773195877
10018464062,914,1880,0.48617021276595745
10018513970,10,28,0.35714285714285715
10018526333,8,26,0.3076923076923077
10018528808,4,5,0.8
10018550500,1,7,0.14285714285714285
10018597707,8546,10049,0.8504328788934222
10018598897,8477,9921,0.8544501562342506
10018704804,98828,127975,0.7722445790193397
10018710089,2,8,0.25
10018794254,86,103,0.8349514563106796
10018835641,17,20,0.85
10018841931,37,63,0.5873015873015873
10018867211,15462,15747,0.9819013145361021
10018896587,1,1,1.0
10018902456,5,8,0.625
10019050119,16,765,0.02091503267973856
